sentence,intent
Fonksiyon nedir?,definition
Kuvvet nedir?,definition
Fiil nedir?,definition
Hücre zarı nedir?,definition
DNA nedir?,definition
Isı nedir?,definition
Oksijen nedir?,definition
Yay nedir?,definition
2x + 3 = 7 denklemi nasıl çözülür?,solution
Bir üçgenin alanı nasıl hesaplanır?,solution
Birinci dereceden denklem nasıl çözülür?,solution
İkinci dereceden denklem çözümü nasıl yapılır?,solution
Paralelkenarın alanı nasıl bulunur?,solution
Basit bir elektrik devresi nasıl kurulur?,solution
Kuvvet hesaplaması nasıl yapılır?,solution
Çarpanlara ayırma nasıl yapılır?,solution
Birleşik fiile örnek ver.,example
Basit cümleye örnek verir misin?,example
Kimyasal tepkimeye örnek ver.,example
Sürtünmeye örnek verir misin?,example
Yansıma olayına örnek ver.,example
Öznenin yer aldığı cümleye örnek ver.,example
İkilemeli sözcüklere örnek ver.,example
Basit fiile örnek verir misin?,example
Fiil ile isim arasındaki fark nedir?,comparison
Basit cümle ile birleşik cümle arasındaki fark nedir?,comparison
Fiziksel ve kimyasal değişim arasındaki fark nedir?,comparison
İsim ve sıfat farkı nedir?,comparison
Canlı ve cansız varlıklar arasındaki fark nedir?,comparison
Kuvvet ile enerji arasındaki fark nedir?,comparison
Atom ile molekül arasındaki fark nedir?,comparison
Yay ile ip farkı nedir?,comparison
Cumhuriyet ne zaman ilan edildi?,date_lookup
TBMM ne zaman açıldı?,date_lookup
Osmanlı Devleti ne zaman kuruldu?,date_lookup
Dünya Savaşı hangi yılda başladı?,date_lookup
İstanbul ne zaman fethedildi?,date_lookup
Türkiye ne zaman NATO'ya katıldı?,date_lookup
Atatürk ne zaman doğdu?,date_lookup
İnternet Türkiye'ye ne zaman geldi?,date_lookup
Sözcük türleri nelerdir?,categorization
Yazım kuralları nelerdir?,categorization
Cümle çeşitleri nelerdir?,categorization
Enerji türleri nelerdir?,categorization
Geometrik şekiller nelerdir?,categorization
Canlıların sınıflandırılması nasıldır?,categorization
Maddenin halleri nelerdir?,categorization
Hücre çeşitleri nelerdir?,categorization
Protein nedir?,definition
Enzim nedir?,definition
Mitoz nedir?,definition
Atom nedir?,definition
Elektron nedir?,definition
Proton nedir?,definition
Nötron nedir?,definition
Molekül nedir?,definition
İyon nedir?,definition
Asit nedir?,definition
Baz nedir?,definition
Tuz nedir?,definition
Çözelti nedir?,definition
Karışım nedir?,definition
Element nedir?,definition
Bileşik nedir?,definition
Hız nedir?,definition
İvme nedir?,definition
Momentum nedir?,definition
Enerji nedir?,definition
İş nedir?,definition
Güç nedir?,definition
Basınç nedir?,definition
Yoğunluk nedir?,definition
Sıcaklık nedir?,definition
Ses nedir?,definition
Işık nedir?,definition
Dalga nedir?,definition
Frekans nedir?,definition
Periyot nedir?,definition
Özne nedir?,definition
Yüklem nedir?,definition
Nesne nedir?,definition
Sıfat nedir?,definition
Zarf nedir?,definition
Edat nedir?,definition
Bağlaç nedir?,definition
Ünlem nedir?,definition
Zamir nedir?,definition
Ekosistem nedir?,definition
Habitat nedir?,definition
Popülasyon nedir?,definition
Topluluk nedir?,definition
Üretici nedir?,definition
Tüketici nedir?,definition
Ayrıştırıcı nedir?,definition
Fotosentez nedir?,definition
Solunum nedir?,definition
Sindirim nedir?,definition
Boşaltım nedir?,definition
Dolaşım nedir?,definition
Koordinasyon nedir?,definition
Üreme nedir?,definition
Kalıtım nedir?,definition
